student_id,subject,assessment_period,month,score,score_out_of,percentile,grade_equivalent,assessor
STU0001,Math,Pre,Sep 2023,47.0,,,,
STU0001,Math,Post,Jan 2024,63.0,,,8.0,
STU0001,Reading,Pre,Sep 2023,46.0,100.0,37.7,N/A,
STU0001,Reading,Post,Jan 2024,68.0,,25.0,,
STU0002,Math,Post,Jan 2024,89.0,100.0,44.8,,Traci Delgado
STU0002,Reading,Pre,Sep 2023,,100.0,59.6,,Joel Phillips
STU0002,Reading,Post,Jan 2024,59.0,100.0,21.5,,Lisa Duncan
STU0002,SEL,Mid,Nov 2023,72.0,100.0,13.2,,
STU0003,Math,Pre,Sep 2023,,100.0,38.7,5.2,Rachel Paul
STU0003,Math,Post,Jan 2024,61.0,100.0,,8.0,
STU0003,Reading,Pre,Sep 2023,62.0,100.0,,5.2,
STU0003,SEL,Mid,Nov 2023,73.0,100.0,,8.0,
STU0004,Math,Pre,Sep 2023,55.0,,65.1,,Angela Baker
STU0004,Math,Post,Jan 2024,66.0,100.0,65.6,7.3,Tonya Miller
STU0004,Reading,Pre,Sep 2023,56.0,100.0,34.0,8.0,Samantha Norman
STU0004,Reading,Post,Jan 2024,64.0,100.0,67.1,,Edward Shaffer
STU0005,Math,Pre,Sep 2023,53.0,,,,Susan Sanders
STU0005,Math,Post,Jan 2024,52.0,100.0,67.9,N/A,
STU0005,Reading,Pre,Sep 2023,50.0,100.0,,,
STU0005,SEL,Mid,Nov 2023,63.0,,,,
STU0006,Math,Pre,Sep 2023,45.0,100.0,40.5,7.3,Michelle Carson
STU0006,Math,Post,Jan 2024,78.0,100.0,20.3,,James Richardson
STU0006,Reading,Pre,Sep 2023,45.0,100.0,,5.2,
STU0006,Reading,Post,Jan 2024,,,,,Debra Shepard
STU0006,SEL,Mid,Nov 2023,74.0,100.0,84.6,5.2,Lisa Taylor
STU0007,Math,Post,Jan 2024,,100.0,28.1,,
STU0007,Reading,Post,Jan 2024,70.0,,15.3,6.1,
STU0007,SEL,Mid,Nov 2023,,,,6.1,
STU0008,Math,Pre,Sep 2023,69.0,100.0,,8.0,
STU0008,Math,Post,Jan 2024,70.0,,69.0,N/A,Angela Schmidt
STU0008,Reading,Pre,Sep 2023,70.0,,38.9,5.2,
STU0008,Reading,Post,Jan 2024,,100.0,,,Sally Allen
STU0009,Math,Pre,Sep 2023,47.0,100.0,,7.3,Juan Khan
STU0009,Math,Post,Jan 2024,73.0,,74.7,N/A,
STU0009,Reading,Pre,Sep 2023,,100.0,,,Melanie Cooper
STU0009,Reading,Post,Jan 2024,58.0,100.0,79.0,7.3,
STU0009,SEL,Mid,Nov 2023,74.0,100.0,76.7,8.0,
STU0010,Math,Pre,Sep 2023,68.0,100.0,49.7,,
STU0010,Math,Post,Jan 2024,70.0,,16.9,8.0,
STU0010,Reading,Pre,Sep 2023,42.0,,44.9,7.3,Scott Guzman
STU0010,SEL,Mid,Nov 2023,44.0,,15.0,,
STU0011,Math,Pre,Sep 2023,50.0,100.0,,,Tina Perkins
STU0011,Math,Post,Jan 2024,48.0,100.0,47.3,,
STU0011,Reading,Pre,Sep 2023,66.0,100.0,51.4,7.3,Kent King
STU0011,SEL,Mid,Nov 2023,74.0,100.0,41.8,,Alicia Smith
STU0012,Math,Pre,Sep 2023,46.0,,65.0,,Tonya King
STU0012,Math,Post,Jan 2024,56.0,100.0,40.1,N/A,James Turner
STU0012,Reading,Pre,Sep 2023,64.0,100.0,42.3,,Marvin Lopez
STU0012,Reading,Post,Jan 2024,68.0,,63.9,N/A,
STU0012,SEL,Mid,Nov 2023,62.0,100.0,68.7,N/A,Bonnie Blanchard
STU0013,Math,Pre,Sep 2023,69.0,,63.2,,Anthony Greer
