student_id,week_of,sessions_attended,sessions_scheduled,attendance_rate,note
STU0275,09-05-2023,3.0,3.0,0.83,
STU0275,09/19/2023,,2.0,0.51,
STU0275,"September 26, 2023",,2.0,52%,
STU0275,"October 03, 2023",3.0,,0.49,
STU0275,"October 10, 2023",3.0,3.0,,
STU0275,10/17/2023,0.0,2.0,,
STU0275,24 Oct 2023,3.0,2.0,89%,
STU0275,"October 31, 2023",0.0,2.0,93%,
STU0275,11-07-2023,0.0,3.0,95%,
STU0275,"November 14, 2023",1.0,2.0,52%,
STU0275,2023-11-21,2.0,2.0,,excused
STU0275,11-28-2023,0.0,2.0,,
STU0275,"December 05, 2023",,2.0,,
STU0275,2023-12-12,0.0,2.0,0.91,
STU0275,12-19-2023,1.0,3.0,65%,
STU0275,"December 26, 2023",1.0,2.0,0.43,
STU0275,2024-01-02,2.0,,,
STU0275,01/09/2024,0.0,2.0,,excused
STU0275,01-16-2024,1.0,2.0,0.63,
STU0102,09/05/2023,2.0,2.0,,
STU0102,"September 12, 2023",3.0,,0.9,unexcused
STU0102,09-19-2023,1.0,,0.86,excused
STU0102,09/26/2023,3.0,3.0,0.63,
STU0102,2023-10-03,1.0,3.0,51%,
STU0102,10 Oct 2023,3.0,3.0,55%,
STU0102,10-17-2023,0.0,2.0,0.94,sick
STU0102,2023-10-24,1.0,3.0,,
STU0102,10-31-2023,0.0,3.0,62%,
STU0102,11/07/2023,2.0,2.0,,
STU0102,2023-11-14,3.0,2.0,0.81,
STU0102,11/21/2023,0.0,3.0,89%,
STU0102,28 Nov 2023,0.0,2.0,0.77,
STU0102,12 Dec 2023,0.0,2.0,,
STU0102,12-19-2023,2.0,,0.98,
STU0102,2023-12-26,2.0,2.0,0.64,
STU0102,02 Jan 2024,0.0,3.0,67%,
STU0102,09 Jan 2024,2.0,3.0,0.98,
STU0102,2024-01-16,,3.0,86%,
STU0081,05 Sep 2023,3.0,3.0,0.6,
STU0081,12 Sep 2023,2.0,2.0,,
STU0081,09/19/2023,1.0,3.0,,
STU0081,2023-09-26,0.0,2.0,0.99,
STU0081,10-03-2023,3.0,2.0,,family emergency
STU0081,"October 10, 2023",2.0,2.0,76%,
STU0081,10/17/2023,2.0,2.0,83%,
STU0081,10/24/2023,2.0,,85%,
STU0081,31 Oct 2023,3.0,3.0,0.69,
STU0081,07 Nov 2023,3.0,2.0,,
STU0081,11-14-2023,0.0,3.0,,
STU0081,11-21-2023,3.0,2.0,87%,family emergency
STU0081,"November 28, 2023",,2.0,0.47,
STU0081,12-05-2023,1.0,3.0,,
STU0081,"December 12, 2023",3.0,3.0,92%,
STU0081,26 Dec 2023,1.0,2.0,66%,
STU0081,"January 02, 2024",0.0,3.0,0.6,
STU0081,2024-01-09,3.0,2.0,,
STU0081,01/16/2024,2.0,2.0,69%,
STU0300,09/05/2023,3.0,2.0,0.9,
STU0300,"September 26, 2023",3.0,2.0,,
STU0300,"October 03, 2023",0.0,2.0,,
STU0300,10 Oct 2023,3.0,2.0,,excused
STU0300,10-17-2023,1.0,3.0,,
STU0300,10-24-2023,2.0,3.0,,excused
STU0300,10-31-2023,0.0,3.0,,
STU0300,11-07-2023,1.0,2.0,64%,excused
STU0300,11/14/2023,0.0,3.0,,
STU0300,21 Nov 2023,1.0,3.0,,
STU0300,11/28/2023,2.0,2.0,,excused
STU0300,"December 05, 2023",1.0,3.0,46%,
STU0300,"December 12, 2023",0.0,2.0,55%,
STU0300,12/19/2023,1.0,3.0,,
STU0300,2023-12-26,1.0,2.0,,
STU0300,01-02-2024,0.0,2.0,,
STU0300,"January 09, 2024",3.0,2.0,0.67,
STU0300,2024-01-16,2.0,3.0,72%,
STU0203,09/05/2023,2.0,3.0,0.47,sick
STU0203,12 Sep 2023,1.0,3.0,95%,
STU0203,2023-09-19,1.0,3.0,,
STU0203,09-26-2023,1.0,3.0,,
STU0203,03 Oct 2023,2.0,3.0,,sick
STU0203,10-10-2023,3.0,3.0,,
STU0203,17 Oct 2023,,2.0,,family emergency
STU0203,"October 24, 2023",1.0,3.0,0.46,family emergency
STU0203,2023-10-31,3.0,3.0,,
STU0203,11-07-2023,3.0,2.0,44%,
STU0203,11/14/2023,2.0,2.0,,
STU0203,11/21/2023,0.0,3.0,89%,
