enrollment_id,student_id,program_name,program,start_date,end_date,status,cohort,site
ENR9584,STU0001,Literacy First,Literacy First,10/21/2023,12/26/2023,dropout,Fall23,Hyde Park
ENR1736,STU0001,College Prep 101,College Prep 101,2023-09-11,23 Nov 2023,active,,Hyde Park
ENR3372,STU0002,After School Math,After School Math,2023-10-19,12-29-2023,Completed,Sp24,South Side
ENR4423,STU0003,College Prep 101,College Prep 101,09/17/2023,02/13/2024,Active,,Englewood
ENR5654,STU0004,College Prep 101,College Prep 101,"October 28, 2023","March 09, 2024",active,Sp24,Englewood
ENR6822,STU0004,After School Math,After School Math,08-20-2023,,Completed,Fall 2023,West Loop
ENR7122,STU0005,After School Math,After School Math,09/18/2023,11/18/2023,ACTIVE,Spring 2024,Hyde Park
ENR9503,STU0005,STEM Bootcamp,STEM Bootcamp,08-04-2023,"November 22, 2023",Active,Fall23,Pilsen
ENR6169,STU0005,Literacy First,Literacy First,09/16/2023,01/15/2024,completed,Spring 2024,Englewood
ENR2206,STU0006,Summer Bridge,Summer Bridge,09-19-2023,,Dropped,,West Loop
ENR3797,STU0007,After School Math,After School Math,"October 18, 2023",03 Mar 2024,Active,Spring 2024,Pilsen
ENR5975,STU0008,STEM Bootcamp,STEM Bootcamp,09-08-2023,"December 04, 2023",Active,Fall 2023,South Side
ENR9910,STU0009,After School Math,After School Math,05 Oct 2023,"March 06, 2024",ACTIVE,Fall 2023,Hyde Park
ENR7037,STU0010,STEM Bootcamp,STEM Bootcamp,"September 13, 2023",2023-11-26,Active,,Pilsen
ENR8709,STU0011,Summer Bridge,Summer Bridge,"October 24, 2023",03-29-2024,active,Fall23,Hyde Park
ENR5903,STU0012,STEM Bootcamp,STEM Bootcamp,2023-09-05,"November 05, 2023",Active,Spring 2024,Pilsen
ENR2409,STU0013,College Prep 101,College Prep 101,08-03-2023,,Active,,
ENR5349,STU0013,Literacy First,Literacy First,"September 06, 2023",24 Jan 2024,ACTIVE,Fall23,
ENR4398,STU0014,After School Math,After School Math,10-15-2023,10 Mar 2024,active,,Pilsen
ENR1785,STU0014,Literacy First,Literacy First,10-22-2023,,,Sp24,West Loop
ENR4228,STU0014,STEM Bootcamp,STEM Bootcamp,"September 20, 2023",02 Dec 2023,,,Pilsen
ENR6282,STU0015,After School Math,After School Math,08/20/2023,,active,,Englewood
ENR3056,STU0016,Literacy First,Literacy First,"August 22, 2023",,Dropped,,Englewood
ENR4230,STU0017,STEM Bootcamp,STEM Bootcamp,10-25-2023,,completed,,South Side
ENR8225,STU0017,Summer Bridge,Summer Bridge,10-05-2023,"January 22, 2024",active,Spring 2024,Pilsen
ENR5150,STU0017,College Prep 101,College Prep 101,09-23-2023,,Dropped,Fall23,South Side
ENR8825,STU0018,STEM Bootcamp,STEM Bootcamp,08-23-2023,11-05-2023,active,,Pilsen
ENR3425,STU0019,After School Math,After School Math,07 Oct 2023,12/23/2023,completed,Sp24,West Loop
ENR9032,STU0020,STEM Bootcamp,STEM Bootcamp,24 Aug 2023,2023-11-09,completed,Sp24,Hyde Park
ENR2631,STU0021,After School Math,After School Math,10-27-2023,01/23/2024,Active,Fall23,Pilsen
ENR3632,STU0021,Summer Bridge,Summer Bridge,2023-10-19,28 Feb 2024,Active,Fall 2023,Hyde Park
ENR3033,STU0022,College Prep 101,College Prep 101,2023-08-17,16 Nov 2023,dropout,Fall 2023,Hyde Park
ENR7493,STU0022,After School Math,After School Math,09-20-2023,2024-01-26,Dropped,,Englewood
ENR2140,STU0022,Summer Bridge,Summer Bridge,"September 10, 2023",02-12-2024,Dropped,Sp24,
ENR9047,STU0023,Summer Bridge,Summer Bridge,2023-09-03,02-18-2024,Dropped,,South Side
ENR4006,STU0023,STEM Bootcamp,STEM Bootcamp,24 Oct 2023,02/08/2024,dropout,Fall23,South Side
ENR7656,STU0023,Literacy First,Literacy First,08/05/2023,19 Jan 2024,Completed,Fall23,West Loop
ENR9558,STU0024,College Prep 101,College Prep 101,2023-10-09,12/14/2023,Completed,,Englewood
ENR5971,STU0024,STEM Bootcamp,STEM Bootcamp,2023-08-17,21 Nov 2023,ACTIVE,,Hyde Park
ENR9138,STU0025,After School Math,After School Math,09-09-2023,"January 30, 2024",completed,Fall23,Hyde Park
ENR1540,STU0025,College Prep 101,College Prep 101,10/11/2023,,Active,Fall 2023,
ENR6243,STU0025,Literacy First,Literacy First,09-12-2023,,,,West Loop
ENR4601,STU0026,STEM Bootcamp,STEM Bootcamp,"October 05, 2023",03/15/2024,dropout,Spring 2024,South Side
ENR1509,STU0026,Summer Bridge,Summer Bridge,09-25-2023,12/26/2023,ACTIVE,Sp24,South Side
ENR3506,STU0027,Literacy First,Literacy First,08/16/2023,01 Jan 2024,,,West Loop
ENR3663,STU0027,After School Math,After School Math,2023-08-15,,dropout,,Englewood
ENR6667,STU0028,STEM Bootcamp,STEM Bootcamp,05 Sep 2023,2024-01-16,completed,Sp24,South Side
ENR6012,STU0028,After School Math,After School Math,13 Aug 2023,"October 27, 2023",ACTIVE,Spring 2024,South Side
ENR6336,STU0029,College Prep 101,College Prep 101,09/25/2023,,Completed,Spring 2024,South Side
ENR3403,STU0029,STEM Bootcamp,STEM Bootcamp,16 Sep 2023,02/17/2024,,,
ENR1247,STU0030,College Prep 101,College Prep 101,18 Sep 2023,2023-11-19,ACTIVE,Fall 2023,West Loop
ENR8010,STU0031,After School Math,After School Math,2023-10-19,12/22/2023,Active,,
ENR4153,STU0031,Literacy First,Literacy First,2023-10-02,"January 28, 2024",,,Hyde Park
ENR6372,STU0032,Literacy First,Literacy First,11 Sep 2023,2023-12-21,Dropped,Spring 2024,West Loop
ENR8427,STU0033,College Prep 101,College Prep 101,04 Aug 2023,10-24-2023,Completed,,South Side
ENR3854,STU0034,After School Math,After School Math,2023-08-16,2023-11-06,Dropped,Sp24,Englewood
ENR7019,STU0034,Literacy First,Literacy First,"August 05, 2023",30 Nov 2023,active,Fall 2023,Englewood
ENR4718,STU0035,,College Prep 101,09/14/2023,2023-12-07,Active,,Englewood
ENR6892,STU0036,College Prep 101,College Prep 101,04 Aug 2023,12/05/2023,,Spring 2024,Englewood
ENR2418,STU0036,STEM Bootcamp,STEM Bootcamp,26 Oct 2023,2023-12-30,Dropped,Fall 2023,
ENR9321,STU0037,After School Math,After School Math,10/19/2023,03-22-2024,Active,Fall 2023,Englewood
ENR2942,STU0038,Literacy First,Literacy First,2023-08-16,05 Feb 2024,Dropped,Sp24,Englewood
ENR9291,STU0039,,College Prep 101,"September 05, 2023",11-11-2023,completed,Sp24,Pilsen
ENR9767,STU0039,Literacy First,Literacy First,"September 20, 2023",03/13/2024,Dropped,Fall 2023,Hyde Park
ENR1869,STU0040,Summer Bridge,Summer Bridge,09/01/2023,12-01-2023,active,,Hyde Park
ENR3799,STU0040,,After School Math,02 Sep 2023,,Dropped,Fall 2023,
ENR3734,STU0040,Literacy First,Literacy First,08/23/2023,11-07-2023,dropout,Fall 2023,Pilsen
ENR3436,STU0041,,Summer Bridge,19 Oct 2023,02/15/2024,Completed,Spring 2024,South Side
ENR9234,STU0042,College Prep 101,College Prep 101,10-02-2023,"February 28, 2024",completed,Fall 2023,Pilsen
ENR8504,STU0043,College Prep 101,College Prep 101,04 Aug 2023,2023-12-21,active,Fall 2023,West Loop
ENR2163,STU0044,Summer Bridge,Summer Bridge,"August 21, 2023",02/08/2024,completed,Spring 2024,Hyde Park
ENR3705,STU0045,STEM Bootcamp,STEM Bootcamp,"September 12, 2023",2024-01-17,Dropped,,Englewood
ENR6556,STU0046,STEM Bootcamp,STEM Bootcamp,09/03/2023,,,Fall23,West Loop
ENR9602,STU0046,Literacy First,Literacy First,"October 01, 2023",03/28/2024,Completed,Fall 2023,
ENR8073,STU0047,Summer Bridge,Summer Bridge,09-19-2023,"January 19, 2024",Dropped,Sp24,Hyde Park
ENR9506,STU0047,College Prep 101,College Prep 101,09/06/2023,01-05-2024,completed,Fall23,Englewood
ENR2991,STU0048,Literacy First,Literacy First,08/06/2023,,ACTIVE,Sp24,West Loop
ENR8612,STU0048,College Prep 101,College Prep 101,10-02-2023,12-19-2023,active,Fall 2023,Englewood
ENR8309,STU0049,After School Math,After School Math,"August 01, 2023",12-03-2023,ACTIVE,Spring 2024,Hyde Park
ENR9361,STU0049,College Prep 101,College Prep 101,24 Oct 2023,2024-02-04,Active,,South Side
ENR4657,STU0050,After School Math,After School Math,08/11/2023,"December 23, 2023",completed,,Englewood
ENR7155,STU0050,College Prep 101,College Prep 101,17 Aug 2023,"November 25, 2023",Active,Spring 2024,Englewood
